date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2009-01-01 | 1
2009-01-02 | 1
2010-08-20 | 1
2010-08-20 | 1
2010-08-20 |     2
2010-08-20 |22
2009-06-19 | 1
2009-06-19 | 2
2010-06-19 | 1
2010-06-19 | 2
2011-06-19 | 1
2011-06-19 | 2
2012-06-19 | 1
2012-06-19 | 2
2013-06-19 | 1
2013-06-19 | 2
2014-06-19 | 1
2014-06-19 | 2
2015-06-19 | 1
2015-06-19 | 2
2016-06-19 | 1
2016-06-19 | 2
2017-06-19 | 1
2017-06-19 | 2
2018-06-19 | 1
2018-06-19 | 2
2019-06-19 | 1
2019-06-19 | 2
2020-06-19 | 1
2020-06-19 | 2
2022-03-29 | 1
2022-03-30 | 1
2022-12-31 | 1
2008-01-01 | 1
2008-12-31 | 1
2011-01-03 |  3
2011-01-03 |2
2011-01-03 |-2
2011-01-03| +2
2011-01-03|-2
2011-01-03 | ++2
2011-01-03  | 1
2011-01-03 |  1.2
2012-01-11  -1
2012-01-11   -1
2012-01-11 | 2147483648
2012-01-11 | -2
2009-00-15 | 3
2010-13-01 | 3
2015-00-10 | 3
2020-13-20 | 1
2022-00-05 | 1
2009-04-31 | 1
2011-06-31 | 1
2012-09-31 | 1
2013-11-31 | 1
2014-02-29 | 1
2015-02-30 | 1
2016-04-31 | 1
2017-06-31 | 1
2018-09-31 | 1
2019-11-31 | 1
2022-02-30 | 1
2010-02-30 | 1
2017-01-32 | 1
2018-02-30 | 1
2010-02-29 | 1 
2014-02-29 | 1
2018-02-29 | 1
2022-02-29 | 1 
2009-02-00 | 1
2012-11-00 | 1
2016-09-00 | 1
2016-09-01 | 1   
2022-03-29 | 1001
